state_id,state_name,year_reported,Average Loan Investment Amount
AK        ,Alaska - Anchorage                                                                                                                                    ,2016,38852.269999999997
AL        ,Alabama                                                                                                                                               ,2016,467.02999999999997
AR        ,Arkansas                                                                                                                                              ,2016,18445.02
AZ        ,Arizona                                                                                                                                               ,2016,9148.7800000000007
CA        ,California                                                                                                                                            ,2016,11380.84
CO        ,Colorado                                                                                                                                              ,2016,20278.27
CT        ,Connecticut                                                                                                                                           ,2016,611590.52000000002
DC        ,District of Columbia                                                                                                                                  ,2016,278181.90999999997
DE        ,Delaware                                                                                                                                              ,2016,50605.879999999997
FL        ,Florida                                                                                                                                               ,2016,71403.289999999994
GA        ,Georgia                                                                                                                                               ,2016,65836.649999999994
GU        ,Guam                                                                                                                                                  ,2016,10500
HI        ,Hawaii                                                                                                                                                ,2016,46838.599999999999
IA        ,Iowa                                                                                                                                                  ,2016,140000
ID        ,Idaho                                                                                                                                                 ,2016,0
IL        ,Illinois                                                                                                                                              ,2016,317519.71000000002
IN        ,Indiana                                                                                                                                               ,2016,118280.08
KS        ,Kansas                                                                                                                                                ,2016,29007.02
KY        ,Kentucky                                                                                                                                              ,2016,109484.98
LA        ,Louisiana                                                                                                                                             ,2016,152670.31
MA        ,Massachusetts                                                                                                                                         ,2016,14952.719999999999
MD        ,Maryland                                                                                                                                              ,2016,290181.53000000003
ME        ,Maine                                                                                                                                                 ,2016,81561.080000000002
MI        ,Michigan                                                                                                                                              ,2016,8126.8900000000003
MN        ,Minnesota                                                                                                                                             ,2016,18336.450000000001
MO        ,Missouri                                                                                                                                              ,2016,141555.07999999999
MP        ,Northern Mariana Islands                                                                                                                              ,2016,96953.130000000005
MS        ,Mississippi                                                                                                                                           ,2016,141381.67000000001
MT        ,Montana                                                                                                                                               ,2016,184325
NC        ,North Carolina                                                                                                                                        ,2016,18059.419999999998
ND        ,North Dakota - Carrington                                                                                                                             ,2016,76283.330000000002
ND        ,North Dakota - Mandan                                                                                                                                 ,2016,0
NE        ,Nebraska                                                                                                                                              ,2016,148456.26999999999
NH        ,New Hampshire                                                                                                                                         ,2016,172485.25
NJ        ,New Jersey                                                                                                                                            ,2016,793785.70999999996
NM        ,New Mexico                                                                                                                                            ,2016,910928.26000000001
NV        ,Nevada                                                                                                                                                ,2016,414841
NY        ,New York                                                                                                                                              ,2016,10229.16
OH        ,Ohio                                                                                                                                                  ,2016,90992.550000000003
OK        ,Oklahoma                                                                                                                                              ,2016,224420.39999999999
OR        ,Oregon                                                                                                                                                ,2016,15697.52
PA        ,Pennsylvania                                                                                                                                          ,2016,87992.990000000005
PR        ,Puerto Rico                                                                                                                                           ,2016,4110.3800000000001
RI        ,Rhode Island                                                                                                                                          ,2016,173870.41
SC        ,South Carolina                                                                                                                                        ,2016,2393.29
SD        ,South Dakota                                                                                                                                          ,2016,125000
TN        ,Tennessee                                                                                                                                             ,2016,166666.67000000001
TX        ,Texas                                                                                                                                                 ,2016,182856.32999999999
UT        ,Utah                                                                                                                                                  ,2016,1034981.6800000001
VA        ,Virginia                                                                                                                                              ,2016,18445.630000000001
VI        ,U.S. Virgin Islands                                                                                                                                   ,2016,665893
VT        ,Vermont                                                                                                                                               ,2016,3000
WA        ,Washington                                                                                                                                            ,2016,110645.24000000001
WI        ,Wisconsin                                                                                                                                             ,2016,115015.46000000001
WV        ,West Virginia                                                                                                                                         ,2016,126857.14
WY        ,Wyoming - Laramie                                                                                                                                     ,2016,82900.169999999998
