state_id,state_name,year_reported,Average Loan Investment Amount
AK        ,Alaska - Anchorage                                                                                                                                    ,2013,0
AK        ,Alaska - Anchorage                                                                                                                                    ,2014,91666.669999999998
AK        ,Alaska - Anchorage                                                                                                                                    ,2015,0
AK        ,Alaska - Anchorage                                                                                                                                    ,2016,909.09000000000003
AL        ,Alabama                                                                                                                                               ,2012,0
AL        ,Alabama                                                                                                                                               ,2013,0
AL        ,Alabama                                                                                                                                               ,2014,0
AL        ,Alabama                                                                                                                                               ,2015,0
AL        ,Alabama                                                                                                                                               ,2016,0
AR        ,Arkansas                                                                                                                                              ,2011,0
AR        ,Arkansas                                                                                                                                              ,2012,0
AR        ,Arkansas                                                                                                                                              ,2013,0
AR        ,Arkansas                                                                                                                                              ,2014,50731.709999999999
AR        ,Arkansas                                                                                                                                              ,2015,53106.559999999998
AR        ,Arkansas                                                                                                                                              ,2016,15000
AZ        ,Arizona                                                                                                                                               ,2012,0
AZ        ,Arizona                                                                                                                                               ,2013,0
AZ        ,Arizona                                                                                                                                               ,2014,184720.94
AZ        ,Arizona                                                                                                                                               ,2015,362000
AZ        ,Arizona                                                                                                                                               ,2016,0
CA        ,California                                                                                                                                            ,2011,0
CA        ,California                                                                                                                                            ,2012,0
CA        ,California                                                                                                                                            ,2013,0
CA        ,California                                                                                                                                            ,2014,8670.8799999999992
CA        ,California                                                                                                                                            ,2015,4307.5500000000002
CA        ,California                                                                                                                                            ,2016,8860.0599999999995
CO        ,Colorado                                                                                                                                              ,2012,0
CO        ,Colorado                                                                                                                                              ,2013,571824.56000000006
CO        ,Colorado                                                                                                                                              ,2014,56939.099999999999
CO        ,Colorado                                                                                                                                              ,2015,0
CO        ,Colorado                                                                                                                                              ,2016,0
CT        ,Connecticut                                                                                                                                           ,2014,0
CT        ,Connecticut                                                                                                                                           ,2015,0
CT        ,Connecticut                                                                                                                                           ,2016,0
DC        ,District of Columbia                                                                                                                                  ,2013,125000
DC        ,District of Columbia                                                                                                                                  ,2014,25000
DC        ,District of Columbia                                                                                                                                  ,2015,2307.6900000000001
DC        ,District of Columbia                                                                                                                                  ,2016,0
DE        ,Delaware                                                                                                                                              ,2011,0
DE        ,Delaware                                                                                                                                              ,2012,0
DE        ,Delaware                                                                                                                                              ,2013,2000
DE        ,Delaware                                                                                                                                              ,2014,0
DE        ,Delaware                                                                                                                                              ,2015,0
DE        ,Delaware                                                                                                                                              ,2016,0
FL        ,Florida                                                                                                                                               ,2012,0
FL        ,Florida                                                                                                                                               ,2013,167336.19
FL        ,Florida                                                                                                                                               ,2014,327851.29999999999
FL        ,Florida                                                                                                                                               ,2015,0
FL        ,Florida                                                                                                                                               ,2016,0
GA        ,Georgia                                                                                                                                               ,2012,0
GA        ,Georgia                                                                                                                                               ,2013,0
GA        ,Georgia                                                                                                                                               ,2014,97517.559999999998
GA        ,Georgia                                                                                                                                               ,2015,47743.269999999997
GA        ,Georgia                                                                                                                                               ,2016,404.19
GU        ,Guam                                                                                                                                                  ,2012,0
GU        ,Guam                                                                                                                                                  ,2013,0
GU        ,Guam                                                                                                                                                  ,2014,0
GU        ,Guam                                                                                                                                                  ,2015,0
GU        ,Guam                                                                                                                                                  ,2016,0
HI        ,Hawaii                                                                                                                                                ,2011,0
HI        ,Hawaii                                                                                                                                                ,2012,0
HI        ,Hawaii                                                                                                                                                ,2013,0
HI        ,Hawaii                                                                                                                                                ,2014,0
HI        ,Hawaii                                                                                                                                                ,2015,0
HI        ,Hawaii                                                                                                                                                ,2016,0
IA        ,Iowa                                                                                                                                                  ,2012,0
IA        ,Iowa                                                                                                                                                  ,2013,0
