state_id,state_name,year_reported,Average Loan Investment Amount
AK        ,Alaska - Anchorage                                                                                                                                    ,2013,948333.32999999996
AK        ,Alaska - Anchorage                                                                                                                                    ,2014,148166.67000000001
AK        ,Alaska - Anchorage                                                                                                                                    ,2015,265000
AK        ,Alaska - Anchorage                                                                                                                                    ,2016,84806.820000000007
AL        ,Alabama                                                                                                                                               ,2012,549591.20999999996
AL        ,Alabama                                                                                                                                               ,2013,369458.27000000002
AL        ,Alabama                                                                                                                                               ,2014,317418.88
AL        ,Alabama                                                                                                                                               ,2015,408556.5
AL        ,Alabama                                                                                                                                               ,2016,431251.56
AR        ,Arkansas                                                                                                                                              ,2011,987500
AR        ,Arkansas                                                                                                                                              ,2012,1239541.73
AR        ,Arkansas                                                                                                                                              ,2013,479908.97999999998
AR        ,Arkansas                                                                                                                                              ,2014,252025.38
AR        ,Arkansas                                                                                                                                              ,2015,268648.21999999997
AR        ,Arkansas                                                                                                                                              ,2016,134355.56
AZ        ,Arizona                                                                                                                                               ,2012,857500
AZ        ,Arizona                                                                                                                                               ,2013,1620947.0700000001
AZ        ,Arizona                                                                                                                                               ,2014,1100488.8899999999
AZ        ,Arizona                                                                                                                                               ,2015,1289880.6000000001
AZ        ,Arizona                                                                                                                                               ,2016,811555.56000000006
CA        ,California                                                                                                                                            ,2011,72492.160000000003
CA        ,California                                                                                                                                            ,2012,64135.93
CA        ,California                                                                                                                                            ,2013,89342.399999999994
CA        ,California                                                                                                                                            ,2014,118461.45
CA        ,California                                                                                                                                            ,2015,121006.98
CA        ,California                                                                                                                                            ,2016,93456.050000000003
CO        ,Colorado                                                                                                                                              ,2012,182258.69
CO        ,Colorado                                                                                                                                              ,2013,514101.15999999997
CO        ,Colorado                                                                                                                                              ,2014,455471.25
CO        ,Colorado                                                                                                                                              ,2015,192518.29000000001
CO        ,Colorado                                                                                                                                              ,2016,751654.91000000003
CT        ,Connecticut                                                                                                                                           ,2014,1500000
CT        ,Connecticut                                                                                                                                           ,2015,4300907.0599999996
CT        ,Connecticut                                                                                                                                           ,2016,2180274.2200000002
