state_id,state_name,year_reported,Average Loan Investment Amount
AK        ,Alaska - Anchorage                                                                                                                                    ,2013,0
AK        ,Alaska - Anchorage                                                                                                                                    ,2014,511972
AK        ,Alaska - Anchorage                                                                                                                                    ,2015,0
AK        ,Alaska - Anchorage                                                                                                                                    ,2016,63454.550000000003
AL        ,Alabama                                                                                                                                               ,2012,1114415.3200000001
AL        ,Alabama                                                                                                                                               ,2013,1408017.4299999999
AL        ,Alabama                                                                                                                                               ,2014,4275316.7999999998
AL        ,Alabama                                                                                                                                               ,2015,1442375.0700000001
AL        ,Alabama                                                                                                                                               ,2016,40135875.469999999
AR        ,Arkansas                                                                                                                                              ,2011,856795
AR        ,Arkansas                                                                                                                                              ,2012,3390308.4399999999
AR        ,Arkansas                                                                                                                                              ,2013,962918.28000000003
AR        ,Arkansas                                                                                                                                              ,2014,212185.16
AR        ,Arkansas                                                                                                                                              ,2015,658546.10999999999
AR        ,Arkansas                                                                                                                                              ,2016,490729.46000000002
AZ        ,Arizona                                                                                                                                               ,2012,1156650.25
AZ        ,Arizona                                                                                                                                               ,2013,5584350.46
AZ        ,Arizona                                                                                                                                               ,2014,920383.17000000004
AZ        ,Arizona                                                                                                                                               ,2015,3092059.5299999998
AZ        ,Arizona                                                                                                                                               ,2016,3670915.2200000002
CA        ,California                                                                                                                                            ,2011,2019747.6799999999
CA        ,California                                                                                                                                            ,2012,795651.31000000006
CA        ,California                                                                                                                                            ,2013,917137.34999999998
CA        ,California                                                                                                                                            ,2014,1978378.9399999999
CA        ,California                                                                                                                                            ,2015,1181958.8100000001
CA        ,California                                                                                                                                            ,2016,920456.04000000004
CO        ,Colorado                                                                                                                                              ,2012,593363.31000000006
CO        ,Colorado                                                                                                                                              ,2013,3214766.0699999998
CO        ,Colorado                                                                                                                                              ,2014,513414.14000000001
CO        ,Colorado                                                                                                                                              ,2015,359853.45000000001
CO        ,Colorado                                                                                                                                              ,2016,944375
CT        ,Connecticut                                                                                                                                           ,2014,0
CT        ,Connecticut                                                                                                                                           ,2015,2126160.52
CT        ,Connecticut                                                                                                                                           ,2016,252658.92000000001
DC        ,District of Columbia                                                                                                                                  ,2013,17856654.5
DC        ,District of Columbia                                                                                                                                  ,2014,9547092.1999999993
DC        ,District of Columbia                                                                                                                                  ,2015,2923685.1499999999
DC        ,District of Columbia                                                                                                                                  ,2016,2337296.6200000001
DE        ,Delaware                                                                                                                                              ,2011,128356.67
DE        ,Delaware                                                                                                                                              ,2012,1706789.27
DE        ,Delaware                                                                                                                                              ,2013,459912.20000000001
DE        ,Delaware                                                                                                                                              ,2014,382667.57000000001
DE        ,Delaware                                                                                                                                              ,2015,1228137.0600000001
DE        ,Delaware                                                                                                                                              ,2016,474909.07000000001
FL        ,Florida                                                                                                                                               ,2012,5563843.6799999997
FL        ,Florida                                                                                                                                               ,2013,6147134.8799999999
FL        ,Florida                                                                                                                                               ,2014,3631785.02
FL        ,Florida                                                                                                                                               ,2015,1655191.22
FL        ,Florida                                                                                                                                               ,2016,2694834.4199999999
GA        ,Georgia                                                                                                                                               ,2012,2765858.27
GA        ,Georgia                                                                                                                                               ,2013,1519348.03
GA        ,Georgia                                                                                                                                               ,2014,1763194.8100000001
GA        ,Georgia                                                                                                                                               ,2015,636083.69999999995
GA        ,Georgia                                                                                                                                               ,2016,617341.33999999997
GU        ,Guam                                                                                                                                                  ,2012,1036156.99
GU        ,Guam                                                                                                                                                  ,2013,980602.18999999994
GU        ,Guam                                                                                                                                                  ,2014,1784927.8
GU        ,Guam                                                                                                                                                  ,2015,83815.360000000001
GU        ,Guam                                                                                                                                                  ,2016,0
HI        ,Hawaii                                                                                                                                                ,2011,0
HI        ,Hawaii                                                                                                                                                ,2012,200000
HI        ,Hawaii                                                                                                                                                ,2013,30394.07
HI        ,Hawaii                                                                                                                                                ,2014,56735.480000000003
HI        ,Hawaii                                                                                                                                                ,2015,112576.81
HI        ,Hawaii                                                                                                                                                ,2016,217432.76999999999
IA        ,Iowa                                                                                                                                                  ,2012,542173.38
IA        ,Iowa                                                                                                                                                  ,2013,914368.21999999997
IA        ,Iowa                                                                                                                                                  ,2015,2227052.6000000001
IA        ,Iowa                                                                                                                                                  ,2016,1148062
ID        ,Idaho                                                                                                                                                 ,2011,2949037.75
ID        ,Idaho                                                                                                                                                 ,2012,1760934.24
