state_id,state_name,Average Revenue
WA        ,Washington                                                                                                                                            ,5854563.8300000001
NC        ,North Carolina                                                                                                                                        ,2574186.54
MN        ,Minnesota                                                                                                                                             ,1126912.8600000001
ND        ,North Dakota - Mandan                                                                                                                                 ,2594894.27
MS        ,Mississippi                                                                                                                                           ,1487158.47
VT        ,Vermont                                                                                                                                               ,4981039.9699999997
PA        ,Pennsylvania                                                                                                                                          ,9253472.9399999995
NJ        ,New Jersey                                                                                                                                            ,10508451.93
LA        ,Louisiana                                                                                                                                             ,624682.05000000005
RI        ,Rhode Island                                                                                                                                          ,318763.04999999999
MP        ,Northern Mariana Islands                                                                                                                              ,566683.26000000001
AK        ,Alaska - Anchorage                                                                                                                                    ,117574.53
CO        ,Colorado                                                                                                                                              ,1217413.8200000001
NY        ,New York                                                                                                                                              ,2171962.0099999998
VI        ,U.S. Virgin Islands                                                                                                                                   ,1899553.97
TN        ,Tennessee                                                                                                                                             ,1767687.1599999999
AL        ,Alabama                                                                                                                                               ,14166535.550000001
IN        ,Indiana                                                                                                                                               ,1129474.8100000001
DC        ,District of Columbia                                                                                                                                  ,5541825.7199999997
NE        ,Nebraska                                                                                                                                              ,3111989.8300000001
VA        ,Virginia                                                                                                                                              ,987648.16000000003
OH        ,Ohio                                                                                                                                                  ,1049038
CT        ,Connecticut                                                                                                                                           ,1126809.21
MO        ,Missouri                                                                                                                                              ,449895.84999999998
CA        ,California                                                                                                                                            ,1213215.2
FL        ,Florida                                                                                                                                               ,3269129.9900000002
HI        ,Hawaii                                                                                                                                                ,127977.24000000001
ID        ,Idaho                                                                                                                                                 ,3706236.9399999999
GA        ,Georgia                                                                                                                                               ,1118730.73
NM        ,New Mexico                                                                                                                                            ,3211444.7599999998
IA        ,Iowa                                                                                                                                                  ,1020020.04
ND        ,North Dakota - Carrington                                                                                                                             ,1246996.05
SC        ,South Carolina                                                                                                                                        ,4559702.5999999996
NV        ,Nevada                                                                                                                                                ,1814632.3200000001
OK        ,Oklahoma                                                                                                                                              ,520942.45000000001
WI        ,Wisconsin                                                                                                                                             ,1077910.6899999999
PR        ,Puerto Rico                                                                                                                                           ,6152485.25
WV        ,West Virginia                                                                                                                                         ,1973214
MA        ,Massachusetts                                                                                                                                         ,4186432.96
AZ        ,Arizona                                                                                                                                               ,3022588.2799999998
SD        ,South Dakota                                                                                                                                          ,9527506.4800000004
OR        ,Oregon                                                                                                                                                ,1642719.6899999999
MI        ,Michigan                                                                                                                                              ,2340578.9900000002
AR        ,Arkansas                                                                                                                                              ,912912.93999999994
ME        ,Maine                                                                                                                                                 ,2985073.5800000001
WY        ,Wyoming - Laramie                                                                                                                                     ,1237672.8100000001
UT        ,Utah                                                                                                                                                  ,5321720.1299999999
NH        ,New Hampshire                                                                                                                                         ,1959241.4099999999
MT        ,Montana                                                                                                                                               ,6140367.8799999999
GU        ,Guam                                                                                                                                                  ,831362.16000000003
IL        ,Illinois                                                                                                                                              ,7019828.0499999998
KY        ,Kentucky                                                                                                                                              ,2781146.8199999998
KS        ,Kansas                                                                                                                                                ,1824970.1299999999
MD        ,Maryland                                                                                                                                              ,3207002.0899999999
TX        ,Texas                                                                                                                                                 ,5166276.1900000004
DE        ,Delaware                                                                                                                                              ,909886.12
