state_id,state_name,year_reported,Average Loan Investment Amount
AK        ,Alaska - Anchorage                                                                                                                                    ,2013,150000
AK        ,Alaska - Anchorage                                                                                                                                    ,2014,74083.330000000002
AK        ,Alaska - Anchorage                                                                                                                                    ,2015,95000
AK        ,Alaska - Anchorage                                                                                                                                    ,2016,38852.269999999997
AL        ,Alabama                                                                                                                                               ,2012,253467.14999999999
AL        ,Alabama                                                                                                                                               ,2013,177683.04000000001
AL        ,Alabama                                                                                                                                               ,2014,40500.519999999997
AL        ,Alabama                                                                                                                                               ,2015,4012.9000000000001
AL        ,Alabama                                                                                                                                               ,2016,467.02999999999997
AR        ,Arkansas                                                                                                                                              ,2011,197500
AR        ,Arkansas                                                                                                                                              ,2012,98395.339999999997
AR        ,Arkansas                                                                                                                                              ,2013,59496.080000000002
AR        ,Arkansas                                                                                                                                              ,2014,33959.769999999997
AR        ,Arkansas                                                                                                                                              ,2015,24272.650000000001
AR        ,Arkansas                                                                                                                                              ,2016,18445.02
AZ        ,Arizona                                                                                                                                               ,2012,297958.25
AZ        ,Arizona                                                                                                                                               ,2013,399129.66999999998
AZ        ,Arizona                                                                                                                                               ,2014,255024.17000000001
AZ        ,Arizona                                                                                                                                               ,2015,384582.07000000001
AZ        ,Arizona                                                                                                                                               ,2016,9148.7800000000007
CA        ,California                                                                                                                                            ,2011,7492.71
CA        ,California                                                                                                                                            ,2012,7447.75
CA        ,California                                                                                                                                            ,2013,17083.970000000001
CA        ,California                                                                                                                                            ,2014,22443.459999999999
CA        ,California                                                                                                                                            ,2015,11196.629999999999
CA        ,California                                                                                                                                            ,2016,11380.84
CO        ,Colorado                                                                                                                                              ,2012,30925
CO        ,Colorado                                                                                                                                              ,2013,126752.44
CO        ,Colorado                                                                                                                                              ,2014,107587.89
CO        ,Colorado                                                                                                                                              ,2015,35669.660000000003
CO        ,Colorado                                                                                                                                              ,2016,20278.27
CT        ,Connecticut                                                                                                                                           ,2014,391015
CT        ,Connecticut                                                                                                                                           ,2015,655331.93000000005
CT        ,Connecticut                                                                                                                                           ,2016,611590.52000000002
DC        ,District of Columbia                                                                                                                                  ,2013,579375
DC        ,District of Columbia                                                                                                                                  ,2014,133735.39999999999
DC        ,District of Columbia                                                                                                                                  ,2015,209001.62
DC        ,District of Columbia                                                                                                                                  ,2016,278181.90999999997
DE        ,Delaware                                                                                                                                              ,2011,10566.67
DE        ,Delaware                                                                                                                                              ,2012,101276.35000000001
DE        ,Delaware                                                                                                                                              ,2013,18409.939999999999
DE        ,Delaware                                                                                                                                              ,2014,177721.92999999999
DE        ,Delaware                                                                                                                                              ,2015,79486.110000000001
DE        ,Delaware                                                                                                                                              ,2016,50605.879999999997
FL        ,Florida                                                                                                                                               ,2012,829138.63
FL        ,Florida                                                                                                                                               ,2013,621581.98999999999
FL        ,Florida                                                                                                                                               ,2014,441928.66999999998
FL        ,Florida                                                                                                                                               ,2015,28446.130000000001
FL        ,Florida                                                                                                                                               ,2016,71403.289999999994
GA        ,Georgia                                                                                                                                               ,2012,102048.33
GA        ,Georgia                                                                                                                                               ,2013,116626.63
GA        ,Georgia                                                                                                                                               ,2014,100403.28
GA        ,Georgia                                                                                                                                               ,2015,59901.540000000001
GA        ,Georgia                                                                                                                                               ,2016,65836.649999999994
GU        ,Guam                                                                                                                                                  ,2012,77906.009999999995
GU        ,Guam                                                                                                                                                  ,2013,169788.32999999999
GU        ,Guam                                                                                                                                                  ,2014,144000
GU        ,Guam                                                                                                                                                  ,2015,114363.64
GU        ,Guam                                                                                                                                                  ,2016,10500
HI        ,Hawaii                                                                                                                                                ,2011,50000
HI        ,Hawaii                                                                                                                                                ,2012,150000
HI        ,Hawaii                                                                                                                                                ,2013,23666.669999999998
HI        ,Hawaii                                                                                                                                                ,2014,39695.010000000002
HI        ,Hawaii                                                                                                                                                ,2015,48412.059999999998
HI        ,Hawaii                                                                                                                                                ,2016,46838.599999999999
IA        ,Iowa                                                                                                                                                  ,2012,282723.54999999999
IA        ,Iowa                                                                                                                                                  ,2013,143677.45000000001
IA        ,Iowa                                                                                                                                                  ,2015,280000
IA        ,Iowa                                                                                                                                                  ,2016,140000
ID        ,Idaho                                                                                                                                                 ,2011,17025
ID        ,Idaho                                                                                                                                                 ,2012,73856.970000000001
ID        ,Idaho                                                                                                                                                 ,2013,109128.86
ID        ,Idaho                                                                                                                                                 ,2014,0
ID        ,Idaho                                                                                                                                                 ,2015,0
ID        ,Idaho                                                                                                                                                 ,2016,0
IL        ,Illinois                                                                                                                                              ,2011,145625.5
IL        ,Illinois                                                                                                                                              ,2012,241919.72
IL        ,Illinois                                                                                                                                              ,2013,292002.09000000003
IL        ,Illinois                                                                                                                                              ,2014,328599.20000000001
IL        ,Illinois                                                                                                                                              ,2015,204633.57000000001
IL        ,Illinois                                                                                                                                              ,2016,317519.71000000002
IN        ,Indiana                                                                                                                                               ,2011,4375
IN        ,Indiana                                                                                                                                               ,2012,54169.57
IN        ,Indiana                                                                                                                                               ,2013,60823.849999999999
IN        ,Indiana                                                                                                                                               ,2014,91962.059999999998
IN        ,Indiana                                                                                                                                               ,2015,88452.199999999997
IN        ,Indiana                                                                                                                                               ,2016,118280.08
KS        ,Kansas                                                                                                                                                ,2011,129158.33
KS        ,Kansas                                                                                                                                                ,2012,161968.01000000001
KS        ,Kansas                                                                                                                                                ,2013,156356.47
KS        ,Kansas                                                                                                                                                ,2014,170477.32999999999
KS        ,Kansas                                                                                                                                                ,2015,110524.67
KS        ,Kansas                                                                                                                                                ,2016,29007.02
KY        ,Kentucky                                                                                                                                              ,2012,126083.64
KY        ,Kentucky                                                                                                                                              ,2013,64343.5
KY        ,Kentucky                                                                                                                                              ,2014,78303.199999999997
KY        ,Kentucky                                                                                                                                              ,2015,82044.220000000001
KY        ,Kentucky                                                                                                                                              ,2016,109484.98
LA        ,Louisiana                                                                                                                                             ,2011,281250
LA        ,Louisiana                                                                                                                                             ,2012,86177.539999999994
LA        ,Louisiana                                                                                                                                             ,2013,61614.580000000002
LA        ,Louisiana                                                                                                                                             ,2014,95255.539999999994
LA        ,Louisiana                                                                                                                                             ,2015,60464.290000000001
LA        ,Louisiana                                                                                                                                             ,2016,152670.31
MA        ,Massachusetts                                                                                                                                         ,2012,24125.240000000002
MA        ,Massachusetts                                                                                                                                         ,2013,11309.209999999999
MA        ,Massachusetts                                                                                                                                         ,2014,15281.379999999999
MA        ,Massachusetts                                                                                                                                         ,2015,27543.130000000001
MA        ,Massachusetts                                                                                                                                         ,2016,14952.719999999999
MD        ,Maryland                                                                                                                                              ,2011,166666.67000000001
MD        ,Maryland                                                                                                                                              ,2012,196825
MD        ,Maryland                                                                                                                                              ,2013,227250
MD        ,Maryland                                                                                                                                              ,2014,195833.17000000001
MD        ,Maryland                                                                                                                                              ,2015,352499.83000000002
MD        ,Maryland                                                                                                                                              ,2016,290181.53000000003
ME        ,Maine                                                                                                                                                 ,2011,25000
ME        ,Maine                                                                                                                                                 ,2012,149093.14999999999
ME        ,Maine                                                                                                                                                 ,2013,133443.67000000001
ME        ,Maine                                                                                                                                                 ,2014,144312.5
ME        ,Maine                                                                                                                                                 ,2015,108914.73
ME        ,Maine                                                                                                                                                 ,2016,81561.080000000002
MI        ,Michigan                                                                                                                                              ,2011,217685.20000000001
MI        ,Michigan                                                                                                                                              ,2012,91252.300000000003
MI        ,Michigan                                                                                                                                              ,2013,138383.48000000001
MI        ,Michigan                                                                                                                                              ,2014,22987.759999999998
MI        ,Michigan                                                                                                                                              ,2015,9518.2399999999998
