state_id,state_name,Average SSBCI Original Funds
WA        ,Washington                                                                                                                                            ,193086.98000000001
NC        ,North Carolina                                                                                                                                        ,57653
MN        ,Minnesota                                                                                                                                             ,39151.120000000003
ND        ,North Dakota - Mandan                                                                                                                                 ,215808.92000000001
MS        ,Mississippi                                                                                                                                           ,98769.330000000002
VT        ,Vermont                                                                                                                                               ,74704.130000000005
PA        ,Pennsylvania                                                                                                                                          ,96923.149999999994
NJ        ,New Jersey                                                                                                                                            ,346189.94
LA        ,Louisiana                                                                                                                                             ,101403.2
RI        ,Rhode Island                                                                                                                                          ,92767.679999999993
MP        ,Northern Mariana Islands                                                                                                                              ,110966.82000000001
AK        ,Alaska - Anchorage                                                                                                                                    ,67875
CO        ,Colorado                                                                                                                                              ,76581.809999999998
NY        ,New York                                                                                                                                              ,23411.860000000001
VI        ,U.S. Virgin Islands                                                                                                                                   ,187519.35999999999
TN        ,Tennessee                                                                                                                                             ,322299.85999999999
AL        ,Alabama                                                                                                                                               ,48960.389999999999
IN        ,Indiana                                                                                                                                               ,81132.889999999999
DC        ,District of Columbia                                                                                                                                  ,265551.47999999998
NE        ,Nebraska                                                                                                                                              ,221509.26000000001
VA        ,Virginia                                                                                                                                              ,58139.32
OH        ,Ohio                                                                                                                                                  ,78254.850000000006
CT        ,Connecticut                                                                                                                                           ,620700.90000000002
MO        ,Missouri                                                                                                                                              ,245979.28
CA        ,California                                                                                                                                            ,13185.6
FL        ,Florida                                                                                                                                               ,264840.60999999999
HI        ,Hawaii                                                                                                                                                ,43640.410000000003
ID        ,Idaho                                                                                                                                                 ,40176.309999999998
GA        ,Georgia                                                                                                                                               ,82997.529999999999
NM        ,New Mexico                                                                                                                                            ,461022.78000000003
IA        ,Iowa                                                                                                                                                  ,183135.10000000001
ND        ,North Dakota - Carrington                                                                                                                             ,137564.29000000001
SC        ,South Carolina                                                                                                                                        ,88155.059999999998
NV        ,Nevada                                                                                                                                                ,391836.64000000001
OK        ,Oklahoma                                                                                                                                              ,242901.88
WI        ,Wisconsin                                                                                                                                             ,171099.89000000001
PR        ,Puerto Rico                                                                                                                                           ,365145.58000000002
WV        ,West Virginia                                                                                                                                         ,183195.51999999999
MA        ,Massachusetts                                                                                                                                         ,19784.93
AZ        ,Arizona                                                                                                                                               ,288857.09999999998
SD        ,South Dakota                                                                                                                                          ,469885
OR        ,Oregon                                                                                                                                                ,59478.410000000003
MI        ,Michigan                                                                                                                                              ,75968.770000000004
AR        ,Arkansas                                                                                                                                              ,43955.510000000002
ME        ,Maine                                                                                                                                                 ,109066.57000000001
WY        ,Wyoming - Laramie                                                                                                                                     ,149945.35000000001
UT        ,Utah                                                                                                                                                  ,217718.67999999999
NH        ,New Hampshire                                                                                                                                         ,36010.629999999997
MT        ,Montana                                                                                                                                               ,246077.06
GU        ,Guam                                                                                                                                                  ,126532.98
IL        ,Illinois                                                                                                                                              ,281190.29999999999
KY        ,Kentucky                                                                                                                                              ,90697.020000000004
KS        ,Kansas                                                                                                                                                ,135052.85999999999
MD        ,Maryland                                                                                                                                              ,250995.81
TX        ,Texas                                                                                                                                                 ,701182.64000000001
DE        ,Delaware                                                                                                                                              ,72709.690000000002
