state_id,state_name,Average SSBCI Original Funds
WA        ,Washington                                                                                                                                            ,601442.66000000003
NC        ,North Carolina                                                                                                                                        ,197464.95000000001
MN        ,Minnesota                                                                                                                                             ,52248.800000000003
ND        ,North Dakota - Mandan                                                                                                                                 ,16137.379999999999
MS        ,Mississippi                                                                                                                                           ,0
VT        ,Vermont                                                                                                                                               ,0
PA        ,Pennsylvania                                                                                                                                          ,583490.16000000003
NJ        ,New Jersey                                                                                                                                            ,0
LA        ,Louisiana                                                                                                                                             ,0
RI        ,Rhode Island                                                                                                                                          ,783172.47999999998
MP        ,Northern Mariana Islands                                                                                                                              ,0
AK        ,Alaska - Anchorage                                                                                                                                    ,85263.160000000003
CO        ,Colorado                                                                                                                                              ,2374.6599999999999
NY        ,New York                                                                                                                                              ,200310.60000000001
VI        ,U.S. Virgin Islands                                                                                                                                   ,0
TN        ,Tennessee                                                                                                                                             ,477985.94
AL        ,Alabama                                                                                                                                               ,0
IN        ,Indiana                                                                                                                                               ,5456.4300000000003
DC        ,District of Columbia                                                                                                                                  ,0
NE        ,Nebraska                                                                                                                                              ,555282.23999999999
VA        ,Virginia                                                                                                                                              ,57823.260000000002
OH        ,Ohio                                                                                                                                                  ,15948.299999999999
CT        ,Connecticut                                                                                                                                           ,703844.73999999999
MO        ,Missouri                                                                                                                                              ,3050206.8100000001
CA        ,California                                                                                                                                            ,858.23000000000002
FL        ,Florida                                                                                                                                               ,0
HI        ,Hawaii                                                                                                                                                ,620023.62
ID        ,Idaho                                                                                                                                                 ,0
GA        ,Georgia                                                                                                                                               ,220.44
NM        ,New Mexico                                                                                                                                            ,94117.649999999994
IA        ,Iowa                                                                                                                                                  ,619866.67000000004
ND        ,North Dakota - Carrington                                                                                                                             ,0
SC        ,South Carolina                                                                                                                                        ,106033.33
NV        ,Nevada                                                                                                                                                ,0
OK        ,Oklahoma                                                                                                                                              ,942886.69999999995
WI        ,Wisconsin                                                                                                                                             ,1112641.6799999999
PR        ,Puerto Rico                                                                                                                                           ,0
WV        ,West Virginia                                                                                                                                         ,627404.14000000001
MA        ,Massachusetts                                                                                                                                         ,27254.189999999999
AZ        ,Arizona                                                                                                                                               ,1639.3399999999999
SD        ,South Dakota                                                                                                                                          ,0
OR        ,Oregon                                                                                                                                                ,0
MI        ,Michigan                                                                                                                                              ,98713.399999999994
AR        ,Arkansas                                                                                                                                              ,357066.90000000002
ME        ,Maine                                                                                                                                                 ,0
WY        ,Wyoming - Laramie                                                                                                                                     ,0
UT        ,Utah                                                                                                                                                  ,27131.580000000002
NH        ,New Hampshire                                                                                                                                         ,12972.190000000001
MT        ,Montana                                                                                                                                               ,684491.07999999996
GU        ,Guam                                                                                                                                                  ,0
IL        ,Illinois                                                                                                                                              ,416814.96000000002
KY        ,Kentucky                                                                                                                                              ,40372.669999999998
KS        ,Kansas                                                                                                                                                ,0
MD        ,Maryland                                                                                                                                              ,3799755.6200000001
TX        ,Texas                                                                                                                                                 ,6277438.3399999999
DE        ,Delaware                                                                                                                                              ,76724.610000000001
