state_id,state_name,year_reported,Average Loan Investment Amount
AK        ,Alaska - Anchorage                                                                                                                                    ,2013,506666.66999999998
AK        ,Alaska - Anchorage                                                                                                                                    ,2014,0
AK        ,Alaska - Anchorage                                                                                                                                    ,2015,40000
AK        ,Alaska - Anchorage                                                                                                                                    ,2016,1818.1800000000001
AL        ,Alabama                                                                                                                                               ,2012,0
AL        ,Alabama                                                                                                                                               ,2013,0
AL        ,Alabama                                                                                                                                               ,2014,0
AL        ,Alabama                                                                                                                                               ,2015,0
AL        ,Alabama                                                                                                                                               ,2016,0
AR        ,Arkansas                                                                                                                                              ,2011,1543236
AR        ,Arkansas                                                                                                                                              ,2012,2336361.8799999999
AR        ,Arkansas                                                                                                                                              ,2013,0
AR        ,Arkansas                                                                                                                                              ,2014,4195.1199999999999
AR        ,Arkansas                                                                                                                                              ,2015,200286.89000000001
AR        ,Arkansas                                                                                                                                              ,2016,36666.669999999998
AZ        ,Arizona                                                                                                                                               ,2012,25000
AZ        ,Arizona                                                                                                                                               ,2013,0
AZ        ,Arizona                                                                                                                                               ,2014,0
AZ        ,Arizona                                                                                                                                               ,2015,0
AZ        ,Arizona                                                                                                                                               ,2016,0
CA        ,California                                                                                                                                            ,2011,10674.370000000001
CA        ,California                                                                                                                                            ,2012,0
CA        ,California                                                                                                                                            ,2013,0
CA        ,California                                                                                                                                            ,2014,0
CA        ,California                                                                                                                                            ,2015,0
CA        ,California                                                                                                                                            ,2016,0
CO        ,Colorado                                                                                                                                              ,2012,40003.849999999999
CO        ,Colorado                                                                                                                                              ,2013,0
CO        ,Colorado                                                                                                                                              ,2014,0
CO        ,Colorado                                                                                                                                              ,2015,0
CO        ,Colorado                                                                                                                                              ,2016,0
CT        ,Connecticut                                                                                                                                           ,2014,750000
CT        ,Connecticut                                                                                                                                           ,2015,1263672.22
CT        ,Connecticut                                                                                                                                           ,2016,138888.89000000001
DC        ,District of Columbia                                                                                                                                  ,2013,0
DC        ,District of Columbia                                                                                                                                  ,2014,0
DC        ,District of Columbia                                                                                                                                  ,2015,0
DC        ,District of Columbia                                                                                                                                  ,2016,0
DE        ,Delaware                                                                                                                                              ,2011,0
DE        ,Delaware                                                                                                                                              ,2012,161730.42000000001
DE        ,Delaware                                                                                                                                              ,2013,0
DE        ,Delaware                                                                                                                                              ,2014,268571.42999999999
DE        ,Delaware                                                                                                                                              ,2015,0
DE        ,Delaware                                                                                                                                              ,2016,0
FL        ,Florida                                                                                                                                               ,2012,0
FL        ,Florida                                                                                                                                               ,2013,0
FL        ,Florida                                                                                                                                               ,2014,0
FL        ,Florida                                                                                                                                               ,2015,0
FL        ,Florida                                                                                                                                               ,2016,0
GA        ,Georgia                                                                                                                                               ,2012,3666.6700000000001
GA        ,Georgia                                                                                                                                               ,2013,0
GA        ,Georgia                                                                                                                                               ,2014,0
GA        ,Georgia                                                                                                                                               ,2015,0
GA        ,Georgia                                                                                                                                               ,2016,0
GU        ,Guam                                                                                                                                                  ,2012,0
GU        ,Guam                                                                                                                                                  ,2013,0
GU        ,Guam                                                                                                                                                  ,2014,0
GU        ,Guam                                                                                                                                                  ,2015,0
GU        ,Guam                                                                                                                                                  ,2016,0
HI        ,Hawaii                                                                                                                                                ,2011,0
HI        ,Hawaii                                                                                                                                                ,2012,0
HI        ,Hawaii                                                                                                                                                ,2013,3357626.0699999998
HI        ,Hawaii                                                                                                                                                ,2014,153000
HI        ,Hawaii                                                                                                                                                ,2015,77931.160000000003
HI        ,Hawaii                                                                                                                                                ,2016,395764.67999999999
IA        ,Iowa                                                                                                                                                  ,2012,3486750
IA        ,Iowa                                                                                                                                                  ,2013,0
IA        ,Iowa                                                                                                                                                  ,2015,0
IA        ,Iowa                                                                                                                                                  ,2016,0
ID        ,Idaho                                                                                                                                                 ,2011,0
ID        ,Idaho                                                                                                                                                 ,2012,0
ID        ,Idaho                                                                                                                                                 ,2013,0
ID        ,Idaho                                                                                                                                                 ,2014,0
ID        ,Idaho                                                                                                                                                 ,2015,0
ID        ,Idaho                                                                                                                                                 ,2016,0
IL        ,Illinois                                                                                                                                              ,2011,8087500
IL        ,Illinois                                                                                                                                              ,2012,372475.40999999997
IL        ,Illinois                                                                                                                                              ,2013,73371.690000000002
IL        ,Illinois                                                                                                                                              ,2014,730826
IL        ,Illinois                                                                                                                                              ,2015,0
IL        ,Illinois                                                                                                                                              ,2016,0
IN        ,Indiana                                                                                                                                               ,2011,0
IN        ,Indiana                                                                                                                                               ,2012,19659.09
IN        ,Indiana                                                                                                                                               ,2013,0
IN        ,Indiana                                                                                                                                               ,2014,0
IN        ,Indiana                                                                                                                                               ,2015,8823.5300000000007
IN        ,Indiana                                                                                                                                               ,2016,0
KS        ,Kansas                                                                                                                                                ,2011,0
KS        ,Kansas                                                                                                                                                ,2012,0
KS        ,Kansas                                                                                                                                                ,2013,0
KS        ,Kansas                                                                                                                                                ,2014,0
KS        ,Kansas                                                                                                                                                ,2015,0
KS        ,Kansas                                                                                                                                                ,2016,0
KY        ,Kentucky                                                                                                                                              ,2012,464285.71000000002
KY        ,Kentucky                                                                                                                                              ,2013,0
KY        ,Kentucky                                                                                                                                              ,2014,0
KY        ,Kentucky                                                                                                                                              ,2015,0
KY        ,Kentucky                                                                                                                                              ,2016,0
LA        ,Louisiana                                                                                                                                             ,2011,0
LA        ,Louisiana                                                                                                                                             ,2012,0
LA        ,Louisiana                                                                                                                                             ,2013,0
LA        ,Louisiana                                                                                                                                             ,2014,0
LA        ,Louisiana                                                                                                                                             ,2015,0
LA        ,Louisiana                                                                                                                                             ,2016,0
MA        ,Massachusetts                                                                                                                                         ,2012,104784.09
MA        ,Massachusetts                                                                                                                                         ,2013,0
MA        ,Massachusetts                                                                                                                                         ,2014,0
MA        ,Massachusetts                                                                                                                                         ,2015,0
MA        ,Massachusetts                                                                                                                                         ,2016,0
MD        ,Maryland                                                                                                                                              ,2011,2723294.3300000001
MD        ,Maryland                                                                                                                                              ,2012,5786284.1399999997
MD        ,Maryland                                                                                                                                              ,2013,6837973.75
MD        ,Maryland                                                                                                                                              ,2014,777777.78000000003
MD        ,Maryland                                                                                                                                              ,2015,6171058.8600000003
MD        ,Maryland                                                                                                                                              ,2016,1583080.97
ME        ,Maine                                                                                                                                                 ,2011,0
ME        ,Maine                                                                                                                                                 ,2012,0
ME        ,Maine                                                                                                                                                 ,2013,0
ME        ,Maine                                                                                                                                                 ,2014,0
ME        ,Maine                                                                                                                                                 ,2015,0
ME        ,Maine                                                                                                                                                 ,2016,0
MI        ,Michigan                                                                                                                                              ,2011,481671.27000000002
MI        ,Michigan                                                                                                                                              ,2012,219099.66
MI        ,Michigan                                                                                                                                              ,2013,0
MI        ,Michigan                                                                                                                                              ,2014,0
MI        ,Michigan                                                                                                                                              ,2015,0
MI        ,Michigan                                                                                                                                              ,2016,0
MN        ,Minnesota                                                                                                                                             ,2012,339036.66999999998
MN        ,Minnesota                                                                                                                                             ,2013,0
MN        ,Minnesota                                                                                                                                             ,2014,0
